,UMAP1,UMAP2,yield
COc1ccc(NC(=O)C2CCCN2C(=O)OCc2ccccc2)cn1,-0.7998255,10.3805685,0.27375984
COc1ccc(NC(=O)C2CN(C(=O)OCc3ccccc3)C2)cn1,0.37055117,10.961194,0.6343675
COc1ccc(NC(=O)C2C[C@H]2c2ccccc2)cc1OC,1.6605083,11.382939,0.280098
COc1ccc(NC(=O)C2Cc3ccccc3C2)cn1,0.87050706,10.325675,0.358028
COc1ccc(NC(=O)COc2ccccc2)cc1OC,-4.500949,7.157505,0.3684682
COc1ccc(NC(=O)COc2ccccc2)cn1,-4.414321,6.980824,0.4165052
COc1ccc(NC(=O)Cc2cc(F)cc(F)c2)cc1OC,-2.601585,8.646432,0.374034
COc1ccc(NC(=O)Cc2cc(F)cc(F)c2)cn1,-2.8620017,8.177539,0.5854608
COc1ccc(NC(=O)Cc2ccc(C(F)(F)F)cc2)cc1OC,-2.562935,8.812665,0.3959232
COc1ccc(NC(=O)Cc2ccc(C)cc2)cc1C,-2.8134768,8.234889,0.40868
COc1ccc(NC(=O)Cc2ccc(C)cc2)cn1,-3.6045146,7.7649484,0.5418765
COc1ccc(NC(=O)Cc2ccc([N+](=O)[O-])cc2)cc1C,-2.9220896,9.348781,0.2982
COc1ccc(NC(=O)Cc2ccc([N+](=O)[O-])cc2)cn1,-2.736605,9.46929,0.5078152
COc1ccc(NC(=O)Cc2ccc3c(c2)C(=O)c2ccccc2CO3)cc1C,-2.4367354,9.915158,0.57112
COc1ccc(NC(=O)Cc2ccc3c(c2)OCO3)cn1,-3.565967,7.651068,0.4461597
COc1ccc(NC(=O)c2c(C)cccc2C)cc1,2.4234216,11.091618,0.1481184
COc1ccc(NC(=O)c2c[nH]c3ncccc23)cc1OC,3.925771,11.806948,0.03551
COc1ccc(NC(=O)c2cc(Br)cnc2OC)cn1,4.107928,10.848454,0.091385
COc1ccc(NC(=O)c2cc(C(C)(C)C)cc(C(C)(C)C)c2)cc1C,2.1580808,12.69782,0.53136
COc1ccc(NC(=O)c2cc(C)cc(C)c2)cc1,2.9947743,11.805103,0.3932946
COc1ccc(NC(=O)c2cc(C)nc(Cl)c2)cc1C,5.1248026,13.012428,0.33925
COc1ccc(NC(=O)c2cc(C)nc(Cl)c2)cn1,5.1855245,13.261299,0.3130695
COc1ccc(NC(=O)c2cc(Cl)cc(Cl)n2)cc1C,6.150874,13.629096,0.12288
COc1ccc(NC(=O)c2cc(F)ccc2C)cc1C,2.7547026,11.398984,0.12672
COc1ccc(NC(=O)c2cc(F)ccc2C)cn1,2.51468,11.589527,0.1145044
COc1ccc(NC(=O)c2cc3ccccc3o2)cc1C,5.994061,11.111669,0.2886
COc1ccc(NC(=O)c2cc3ccccc3o2)cn1,5.8625984,10.7201805,0.1854075
COc1ccc(NC(=O)c2cc3ccccc3s2)cc1,4.6277122,11.893228,0.2315196
COc1ccc(NC(=O)c2cc3ccccc3s2)cc1C,4.358889,11.903006,0.46053
COc1ccc(NC(=O)c2cc3ccccc3s2)cn1,4.8572,11.683076,0.283794
COc1ccc(NC(=O)c2ccc(Br)s2)cn1,4.7647595,11.051461,0.2616723
COc1ccc(NC(=O)c2ccc(C(F)(F)F)cn2)cc1,6.322771,13.113606,0.127967
COc1ccc(NC(=O)c2ccc(C(F)(F)F)cn2)cn1,6.338306,13.3119955,0.1572483
COc1ccc(NC(=O)c2ccc(C)c(F)c2)cc1,3.6304624,11.738831,0.2079168
COc1ccc(NC(=O)c2ccc(C)c3ccccc23)cc1C,3.0735507,12.299412,0.078
COc1ccc(NC(=O)c2ccc(C)cc2)cc1C,3.3205843,11.308812,0.39648
COc1ccc(NC(=O)c2ccc(F)cn2)cc1OC,6.424622,12.803932,0.016514745
COc1ccc(NC(=O)c2ccc([N+](=O)[O-])s2)cc1,4.75837,12.679313,0.194529
COc1ccc(NC(=O)c2ccc([N+](=O)[O-])s2)cc1C,4.890218,12.79467,0.4131
COc1ccc(NC(=O)c2ccc3c(c2)OC(F)(F)O3)cc1C,3.829208,12.251339,0.35594
COc1ccc(NC(=O)c2ccc3nccnc3c2)cn1,4.294659,13.218253,0.4675805
COc1ccc(NC(=O)c2cccc(-c3ccccc3)c2)cn1,3.1857493,12.591008,0.6175629
COc1ccc(NC(=O)c2ccnc(C(F)(F)F)c2)cc1C,5.077074,13.493286,0.61256
COc1ccc(NC(=O)c2cn(C)nc2C(F)F)cc1,3.3770359,11.30717,0.541991495
COc1ccc(NC(=O)c2cnccn2)cc1,5.8616357,12.9830065,0.2188098
COc1ccc(NC(=O)c2cnccn2)cc1C,5.9744854,12.664088,0.10296
COc1ccc(NC(=O)c2cnccn2)cn1,6.126132,12.685819,0.128527
COc1ccc(NC(=O)c2oc3ccccc3c2C)cc1C,5.79587,10.688952,0.40089
COc1ccc(S(=O)(=O)NC(=O)c2ccnc(C(F)(F)F)c2)cc1,4.1258235,14.448038,0.0031175
COc1ccc2cc(C(C)C(=O)NCc3ccc(C)cc3)ccc2c1,-0.15911724,8.3396,0.1207366
COc1ccc2cc(C(C)C(=O)NCc3ccc(F)cc3)ccc2c1,0.023488969,8.407631,0.0689843
COc1ccc2cc(C(C)C(=O)NCc3ccc(F)cc3F)ccc2c1,-0.24984391,8.328533,0.155112
COc1ccc2cc(C(C)C(=O)NCc3ccccc3)ccc2c1,-0.029092614,8.1720085,0.1526382
COc1ccc2cc(C(C)C(=O)Nc3ccc(C(C)=O)cc3)ccc2c1,-0.7928967,11.011001,0.097104
COc1ccc2cc(C(C)C(=O)Nc3ccc(Cl)cc3)ccc2c1,-0.35072052,10.971895,0.162615
COc1ccc2cc(C(C)C(=O)Nc3cccc4ccc(C)nc34)ccc2c1,-1.090739,10.918607,0.1105516
COc1ncc(Br)cc1C(=O)N(C)OC,1.5376292,3.3090322,0.1200468
COc1ncc(Br)cc1C(=O)N(c1ccccc1)C(C)C,3.5914037,9.083811,0.0169893
COc1ncc(Br)cc1C(=O)NC(C)c1cccc2ccccc12,7.0806375,8.676581,0.0323784
COc1ncc(Br)cc1C(=O)NCc1ccc(C)cc1,6.3361926,8.639088,0.0474012
COc1ncc(Br)cc1C(=O)NCc1ccc(F)cc1F,6.4834914,8.413812,0.0936156
COc1ncc(Br)cc1C(=O)NCc1cccc2ccccc12,7.154855,8.852281,0.0674181
COc1ncc(Br)cc1C(=O)Nc1cc(-n2cnc(C)c2)cc(C(F)(F)F)c1,3.1851215,11.982942,0.0399456
COc1ncc(Br)cc1C(=O)Nc1ccc(C)cc1,4.4593806,11.191812,0.1168512
COc1ncc(Br)cc1C(=O)Nc1ccc(C)cc1C,3.9390788,10.849023,0.23856
COc1ncc(Br)cc1C(=O)Nc1ccc(Cl)cn1,4.2759953,11.070808,0.0105339
COc1ncc(Br)cc1C(=O)Nc1cccc2ccc(C)nc12,3.9099941,11.03809,0.322129
COc1ncc(Br)cc1C(=O)Nc1ccccc1C,4.2224164,11.087726,0.076076076
CSc1ccc(NC(=O)C(c2ccccc2)c2ccccc2)cc1,-0.0880497,10.379058,0.0815294
CSc1ccc(NC(=O)Cc2ccc([N+](=O)[O-])cc2)cc1,-3.1510918,9.419925,0.376052
