,UMAP1,UMAP2
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)(C)OC(=O)N[C@H]1CCN(CC(=O)O)C1=O,7.672188,3.8110285
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)(C)OC(=O)N[C@H]1CC[C@H](C(=O)O)C1,0.75628865,-0.269726
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)(C)OC(=O)N[C@H]1CC[C@H](C(=O)O)CC1,0.6802324,-0.29041833
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)(C)OC(=O)N[C@H]1CC[C@H](c2ccccc2)C[C@H]1C(=O)O,4.175234,3.67461
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)(C)OC(=O)n1c(CCC(=O)O)nc2ccccc21,5.590349,7.420175
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)(C)OC(=O)n1cc(CCC(=O)O)c2ccccc21,5.8893185,7.3070664
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)(C)OCC(=O)O,8.199545,1.6481638
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)(C)O[C@@H]1C[C@@H](C(=O)O)N(C(=O)OCc2ccccc2)C1,5.2350397,3.0012946
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)(C)c1ccc(OCC(=O)O)cc1,9.137375,1.4265288
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)(C)c1ccc(SCC(=O)O)cc1,8.727645,8.062517
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)C1CCC(C(=O)O)CC1,0.012643977,0.3208764
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)CCCCCCC(=O)O,-1.3968785,1.6881415
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)C[C@@H](C(=O)O)N(C)C(=O)OC(C)(C)C,2.770971,-0.22923729
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)Oc1ccc(N2CC(C(=O)O)CC2=O)cc1,2.7470634,5.1478524
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)Oc1ccccc1-c1nnc(SCC(=O)O)[nH]1,6.698375,7.164493
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)[C@@H](NC(=O)OC(C)(C)C)C(=O)O,3.4172497,-0.40435258
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OCC(=O)O,8.316137,2.85917
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)N1CCC[C@H]1C(=O)O,4.999536,2.8552876
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)[C@H](NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)C(=O)O,4.7793045,3.5497131
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)c1ccc(CC(=O)O)cc1,8.003553,8.830094
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(CC(=O)O)CC(=O)c1ccccc1,5.196543,8.187844
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(CC(=O)O)c1ccc(Cl)cc1,6.5144353,7.7974777
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(F)C(=O)O,7.7356706,-0.17284828
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(NC(=O)OC(C)(C)C)C(=O)O,2.494267,-0.56391156
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(OCc1ccccc1)C(=O)O,7.2026887,1.5032976
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(Oc1ccc(C=O)cc1)C(=O)O,7.116128,1.6106415
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(Oc1ccccc1)C(=O)O,7.2279315,0.674014
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC1(C)C(C(=O)O)C1(C)C,-2.001862,-1.6142868
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC1(C)CC(=O)CC1C(=O)O,2.1324916,4.9431405
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC1(C)CC(C(=O)O)CCO1,-0.038984016,-0.38895586
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC1CCCC(C(=O)O)C1,-0.15193121,-0.03768534
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CCC(Oc1ccccc1)C(=O)O,6.73996,1.0127217
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CCC1(CC)CC1C(=O)O,-1.3815217,-1.3192135
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CCCCC(=O)O,-1.4594893,1.4318585
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CCCCCCC(CCCC)C(=O)O,0.30077907,0.344796
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CCCCCCCC/C=C\CCCCCCCC(=O)O,-1.4706426,3.0890403
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CCCCCCCCC#CCCCCCCCC(=O)O,-1.198794,3.3556924
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CCCOc1ccc(CC(=O)O)cc1,7.7180743,8.296069
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CCC[C@](C)(F)C(=O)O,7.25643,-0.6878702
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CCOC(=O)N1CSCC1C(=O)O,5.31752,1.2435797
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CCOC(=O)N[C@@H](Cc1ccccc1)C(=O)O,6.1409454,4.06316
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC[C@H](NC(=O)OCc1ccccc1)C(=O)O,6.417867,3.8616722
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CCc1ccc(OCC(=O)O)cc1,8.611663,2.1136756
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CN(C(=O)OC(C)(C)C)C1(C(=O)O)CC1,1.5785594,-0.3761155
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CN(C(=O)OC(C)(C)C)[C@@H](Cc1ccccc1)C(=O)O,5.724915,2.0788965
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CN(CC(=O)O)C(=O)c1ccco1,7.9689503,6.0652256
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CN(CC(=O)O)S(=O)(=O)c1ccccc1,8.4106865,6.139883
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CN(CC(=O)O)c1ncc(C=O)cn1,8.120381,5.864749
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CN1CC(C(=O)O)CC1=O,2.185782,3.4172435
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.COC(=O)C1CN(C(=O)OC(C)(C)C)CCC1C(=O)O,2.6157765,1.2624876
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.COC(=O)CCC(NC(=O)OC(C)(C)C)C(=O)O,2.0704417,-0.6227839
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.COC(=O)C[C@H](NC(=O)OCc1ccccc1)C(=O)O,5.9606485,3.4219532
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.COC(=O)[C@H](CC(=O)O)NC(C)=O,6.664613,8.331716
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.COC(=O)[C@H](CCC(=O)O)NC(=O)OC(C)(C)C,-0.41645077,2.5980613
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.COC(=O)[C@H]1CC[C@@H](C(=O)O)C1,1.1011611,1.4174422
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.COC(=O)[C@H]1CC[C@H](C(=O)O)CC1,1.0743616,4.184142
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.COC(=O)c1ccc(CC(=O)O)cc1,7.617179,8.082818
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.COC(C)C(=O)O,7.4775925,-0.14273386
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.COC1CCCC(C(=O)O)C1,0.35813305,0.3960242
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.COCC(=O)O,8.283199,0.54362506
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.COCc1n[nH]c2c1CC(C(=O)O)CC2,2.457448,1.9316869
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.COc1cc(CC(=O)O)cnc1OC,6.8736024,8.058554
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.COc1cc(OCC(=O)O)ccc1C=O,9.188392,4.122783
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.COc1cc2c(cc1OC)C(CC(=O)O)N(C(=O)OC(C)(C)C)CC2,5.118429,6.361814
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.COc1ccc(C(CC(=O)O)NC(=O)OC(C)(C)C)cc1,5.516548,6.552079
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.COc1ccc(CC(=O)O)cc1,8.046796,8.598994
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.COc1ccc(OCC(=O)O)cc1,8.901815,1.9374695
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.COc1ccc2c(c1)OCC(C(=O)O)C2,2.6066587,4.668563
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,6.3108234,7.0004315
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.COc1cccc(N2CC(C(=O)O)CC2=O)c1,2.5265563,4.799457
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.COc1cccc(OCC(=O)O)c1,8.598591,3.0657563
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.COc1cccc(OCCC(=O)O)c1,6.855951,8.201265
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.COc1ccccc1OCC(=O)O,8.868596,1.9751617
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CSCCC(NC(=O)OC(C)(C)C)C(=O)O,3.4203742,1.1871518
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CSCCC(NC(C)=O)C(=O)O,3.3773942,0.8331828
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CSCC[C@H](NC(=O)OC(C)(C)C)C(=O)NCC(=O)O,7.0483932,4.7761645
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.C[C@@H](C(=O)O)N1C(=O)c2ccccc2C1=O,7.2657595,5.414989
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.C[C@@H](NC(=O)c1ccccc1)C(=O)O,6.0976305,4.640216
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.C[C@@H]1CC[C@H](C(=O)O)CN1C(=O)OCc1ccccc1,3.81201,4.8705263
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3C(=O)C[C@@H]4CC(=O)CC[C@]4(C)[C@H]3CC(=O)[C@]12C,5.091194,7.069163
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,-1.7808431,3.3182902
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.C[C@H](NC(=O)OCc1ccccc1)C(=O)N1CCC[C@H]1C(=O)O,4.5612764,2.6189883
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.C[C@H](O)CC(=O)O,-0.65857065,1.0480729
