,0
152,COC(=O)CC1CCc2cc(C3CCC(C(=O)OC)CC3)cc3[nH]c(=O)c(=O)n1c23
153,COC(=O)CC1CCc2cc(C3CCC[C@@H](C(=O)c4ccccc4)C3)cc3[nH]c(=O)c(=O)n1c23
154,COC(=O)CC1CCc2cc(C3CCCC[C@@H]3CC(=O)c3ccccc3)cc3[nH]c(=O)c(=O)n1c23
155,COC(=O)CC1CCc2cc(CCCCC(=O)c3ccc(Cl)cc3)cc3[nH]c(=O)c(=O)n1c23
156,COC(=O)CC1CCc2cc(CCCC(=O)C3CC3)cc3[nH]c(=O)c(=O)n1c23
157,COC(=O)CC1CCc2cc(CCC(=O)C(C)(C)C)cc3[nH]c(=O)c(=O)n1c23
158,COC(=O)CC1CCc2cc(C3CC[C@@H](c4ccccc4)N3C(=O)OC(C)(C)C)cc3[nH]c(=O)c(=O)n1c23
159,COC(=O)CC1CCc2cc(C3C[C@@H](c4ccccc4)CN3C(=O)OC(C)(C)C)cc3[nH]c(=O)c(=O)n1c23
160,COC(=O)CC1CCc2cc(C3CCN3C(=O)OC(C)(C)C)cc3[nH]c(=O)c(=O)n1c23
161,COC(=O)CC1CCc2cc(Cn3c(=O)oc4ccccc43)cc3[nH]c(=O)c(=O)n1c23
162,COC(=O)CC1CCc2cc(C3CC(=O)N(c4cccc(OC)c4)C3)cc3[nH]c(=O)c(=O)n1c23
163,COC(=O)CC1CCc2cc(Cc3cc(Cl)ccc3F)cc3[nH]c(=O)c(=O)n1c23
164,COC(=O)CC1CCc2cc(C3CC(c4ccccc4)C3)cc3[nH]c(=O)c(=O)n1c23
165,COC(=O)CC1CCc2cc(C3CCC(C(C)C)CC3)cc3[nH]c(=O)c(=O)n1c23
166,COC(=O)CC1CCc2cc(CCc3nc4ccccc4s3)cc3[nH]c(=O)c(=O)n1c23
167,COC(=O)CC1CCc2cc(C3CN(C(=O)OC(C)(C)C)C3)cc3[nH]c(=O)c(=O)n1c23
168,COC(=O)CC1CCc2cc(C[C@@H](Cc3cccc(F)c3)NC(=O)OC(C)(C)C)cc3[nH]c(=O)c(=O)n1c23
169,C=CC[C@H](Cc1cc2c3c(c1)[nH]c(=O)c(=O)n3C(CC(=O)OC)CC2)NC(=O)OC(C)(C)C
170,COC(=O)CC1CCc2cc(C3CCC(NC(=O)OC(C)(C)C)CC3)cc3[nH]c(=O)c(=O)n1c23
171,COC(=O)CC1CCc2cc(C3CCC[C@H](NC(=O)OC(C)(C)C)C3)cc3[nH]c(=O)c(=O)n1c23
172,COC(=O)CC1CCc2cc(C3CCCC[C@@H]3NC(=O)OC(C)(C)C)cc3[nH]c(=O)c(=O)n1c23
173,COC(=O)CC1CCc2cc(CC(C)CC(=O)c3ccccc3)cc3[nH]c(=O)c(=O)n1c23
174,COC(=O)CC1CCc2cc(Cn3cc(C(F)(F)F)ccc3=O)cc3[nH]c(=O)c(=O)n1c23
175,COC(=O)CC1CCc2cc(CC(NC(=O)OC(C)(C)C)c3ccc(OC)cc3)cc3[nH]c(=O)c(=O)n1c23
176,COC(=O)CC1CCc2cc(CC(NC(=O)OC(C)(C)C)c3cccc(Cl)c3)cc3[nH]c(=O)c(=O)n1c23
177,COC(=O)CC1CCc2cc(C3CCC(O)CC3)cc3[nH]c(=O)c(=O)n1c23
178,COC(=O)CC1CCc2cc(C(C)OCc3ccccc3)cc3[nH]c(=O)c(=O)n1c23
179,COC(=O)CC1CCc2cc(C3CC(=O)N(c4ccc(OC(C)C)cc4)C3)cc3[nH]c(=O)c(=O)n1c23
180,COC(=O)CC1CCc2cc(CC3CCCN(C(=O)OC(C)(C)C)C3)cc3[nH]c(=O)c(=O)n1c23
181,COC(=O)CC1CCc2cc(CCC3CCCN(C(=O)OC(C)(C)C)C3)cc3[nH]c(=O)c(=O)n1c23
182,COC(=O)CC1CCc2cc(CC3CN(C(=O)OC(C)(C)C)C3)cc3[nH]c(=O)c(=O)n1c23
183,COC(=O)CC1CCc2cc(C3CCN(C(=O)OCc4ccccc4)C3)cc3[nH]c(=O)c(=O)n1c23
184,COC(=O)CC1CCc2cc(C3CN(C(=O)OC(C)(C)C)CCN3C(=O)OC(C)(C)C)cc3[nH]c(=O)c(=O)n1c23
185,COC(=O)CC1CCc2cc(C3CN(C(=O)OC(C)(C)C)CCC3c3ccccc3)cc3[nH]c(=O)c(=O)n1c23
186,COC(=O)CC1CCc2cc(C3CC(c4ccccc4)CN(C(=O)OC(C)(C)C)C3)cc3[nH]c(=O)c(=O)n1c23
187,COC(=O)CC1CCc2cc(C3CCCN(C(=O)OC(C)(C)C)C3)cc3[nH]c(=O)c(=O)n1c23
188,COC(=O)CC1CCc2cc(Cn3cc(Cl)c(=O)c(Cl)c3)cc3[nH]c(=O)c(=O)n1c23
189,COC(=O)CC1CCc2cc(CC3c4cc(OC)c(OC)cc4CCN3C(=O)OC(C)(C)C)cc3[nH]c(=O)c(=O)n1c23
190,COC(=O)CC1CCc2cc(C3CC[C@H](NC(=O)OC(C)(C)C)C3)cc3[nH]c(=O)c(=O)n1c23
191,COC(=O)CC1CCc2cc(Cn3cnc4sc5c(c4c3=O)CCCC5)cc3[nH]c(=O)c(=O)n1c23
192,COC(=O)CC1CCc2cc(CC(C)n3nc(C)cc3C)cc3[nH]c(=O)c(=O)n1c23
193,COC(=O)CC1CCc2cc(Cc3nc(C)sc3C)cc3[nH]c(=O)c(=O)n1c23
194,COC(=O)CC1CCc2cc(C3[C@@H]4CC[C@@H](C4)[C@H]3NC(=O)OC(C)(C)C)cc3[nH]c(=O)c(=O)n1c23
195,COC(=O)CC1CCc2cc(C3CSCCN3C(=O)OC(C)(C)C)cc3[nH]c(=O)c(=O)n1c23
196,COC(=O)CC1CCc2cc(CN3CC[C@H](NC(=O)OC(C)(C)C)C3=O)cc3[nH]c(=O)c(=O)n1c23
197,COC(=O)CC1CCc2cc(C3CCCCC3O)cc3[nH]c(=O)c(=O)n1c23
198,COC(=O)CC1CCc2cc(C(CNC(=O)OC(C)(C)C)Cc3ccccc3)cc3[nH]c(=O)c(=O)n1c23
199,COC(=O)CC1CCc2cc(C3Cc4ccccc4O3)cc3[nH]c(=O)c(=O)n1c23
200,COC(=O)CC1CCc2cc(C[C@H]3CCCN(C(=O)OC(C)(C)C)C3)cc3[nH]c(=O)c(=O)n1c23
201,COC(=O)CC1CCc2cc(C3CCN(C(=O)OC(C)(C)C)C3)cc3[nH]c(=O)c(=O)n1c23
202,COC(=O)CC1CCc2cc(C3CC(=O)CCN3C(=O)OC(C)(C)C)cc3[nH]c(=O)c(=O)n1c23
203,COC(=O)CC1CCc2cc(C3CC(F)(F)CN3C(=O)OC(C)(C)C)cc3[nH]c(=O)c(=O)n1c23
204,COC(=O)CC1CCc2cc(CSc3cn(C)c4ccccc34)cc3[nH]c(=O)c(=O)n1c23
205,COC(=O)CC1CCc2cc(Cn3nccc3C)cc3[nH]c(=O)c(=O)n1c23
206,COC(=O)CC1CCc2cc(CC(NC(=O)OCc3ccccc3)C3CCN(C(=O)OC(C)(C)C)CC3)cc3[nH]c(=O)c(=O)n1c23
207,COC(=O)CC1CCc2cc(C3CN(C(=O)OC(C)(C)C)CCS3)cc3[nH]c(=O)c(=O)n1c23
208,COC(=O)CC1CCc2cc(COC(C)(C)C)cc3[nH]c(=O)c(=O)n1c23
209,COC(=O)CC1CCc2cc(C3CCC(F)(F)CC3)cc3[nH]c(=O)c(=O)n1c23
210,COC(=O)CC1CCc2cc(CCCC(=O)c3ccccc3Cl)cc3[nH]c(=O)c(=O)n1c23
211,COC(=O)CC1CCc2cc(C(C)Oc3ccc(C=O)cc3)cc3[nH]c(=O)c(=O)n1c23
212,COC(=O)CCC(NC(=O)OC(C)(C)C)c1cc2c3c(c1)[nH]c(=O)c(=O)n3C(CC(=O)OC)CC2
213,COC(=O)CC1CCc2cc(CC3CN(C(=O)OC(C)(C)C)CCO3)cc3[nH]c(=O)c(=O)n1c23
214,COC(=O)CC1CCc2cc(C3COCCN3C(=O)OC(C)(C)C)cc3[nH]c(=O)c(=O)n1c23
215,COC(=O)CC1CCc2cc(CCCC3CCN(C(=O)OC(C)(C)C)CC3)cc3[nH]c(=O)c(=O)n1c23
216,CCOC(=O)N1CSCC1c1cc2c3c(c1)[nH]c(=O)c(=O)n3C(CC(=O)OC)CC2
217,COC(=O)CC1CCc2cc(C3C[C@@H](c4ccccc4)CC[C@@H]3NC(=O)OC(C)(C)C)cc3[nH]c(=O)c(=O)n1c23
218,COC(=O)CC1CCc2cc(Cn3nc(C)nc3C)cc3[nH]c(=O)c(=O)n1c23
219,COC(=O)CC1CCc2cc(CCn3nc(C)c(C(C)=O)c3C)cc3[nH]c(=O)c(=O)n1c23
220,COC(=O)CC1CCc2cc(Cc3c(C)cccc3C)cc3[nH]c(=O)c(=O)n1c23
221,COC(=O)CC1CCc2cc(C(C)F)cc3[nH]c(=O)c(=O)n1c23
222,COC(=O)CC1CCc2cc(C3COCCO3)cc3[nH]c(=O)c(=O)n1c23
